Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2015,Philadelphia Phillies,NL East,162,63,99,0,0.389,0.385,5th of 5,27,,626,809,1831080,28,28.5,50,30,O.Herrera (3.8),R.Sandberg (26-48) and P.Mackanin (37-51)
2,2014,Philadelphia Phillies,NL East,162,73,89,0,0.451,0.452,5th of 5,23,,619,687,2423852,30.8,30.1,49,26,C.Hamels (6.8),R.Sandberg (73-89)
3,2013,Philadelphia Phillies,NL East,162,73,89,0,0.451,0.407,4th of 5,23,,610,749,3012403,30,28.7,51,27,C.Lee (7.6),C.Manuel (53-67) and R.Sandberg (20-22)
4,2012,Philadelphia Phillies,NL East,162,81,81,0,0.5,0.503,3rd of 5,17,,684,680,3565718,31.1,29.1,49,24,C.Hamels (5.2),C.Manuel (81-81)
5,2011,Philadelphia Phillies,NL East,162,102,60,0,0.63,0.633,1st of 5,--,Lost LDS (3-2),713,529,3680718,31.4,29.2,42,23,C.Lee (9.2),C.Manuel (102-60)
6,2010,Philadelphia Phillies,NL East,162,97,65,0,0.599,0.585,1st of 5,--,Lost NLCS (4-2),772,640,3777322,31.8,31.1,42,21,R.Halladay (8.1),C.Manuel (97-65)
7,2009,Philadelphia Phillies,NL East,162,93,69,0,0.574,0.566,1st of 5,--,Lost WS (4-2),820,709,3600693,31.3,31.2,41,22,C.Utley (8.2),C.Manuel (93-69)
8,2008,Philadelphia Phillies,NL East,162,92,70,0,0.568,0.573,1st of 5,--,Won WS (4-1),799,680,3422583,30.1,30.6,40,18,C.Utley (9.0),C.Manuel (92-70)
9,2007,Philadelphia Phillies,NL East,162,89,73,0,0.549,0.538,1st of 5,--,Lost LDS (3-0),892,821,3108325,28.8,30.6,46,28,C.Utley (7.8),C.Manuel (89-73)
10,2006,Philadelphia Phillies,NL East,162,85,77,0,0.525,0.529,2nd of 5,12,,865,812,2701815,29.3,30.5,45,23,C.Utley (7.3),C.Manuel (85-77)
11,2005,Philadelphia Phillies,NL East,162,88,74,0,0.543,0.548,2nd of 5,2,,807,726,2665304,30,29.7,40,19,C.Utley (7.2),C.Manuel (88-74)
12,2004,Philadelphia Phillies,NL East,162,86,76,0,0.531,0.533,2nd of 5,10,,840,781,3250092,29.3,29.8,39,21,B.Abreu (6.5),L.Bowa (85-75) and G.Varsho (1-1)
13,2003,Philadelphia Phillies,NL East,162,86,76,0,0.531,0.558,3rd of 5,15,,791,697,2259948,28.3,29,38,20,B.Abreu (5.3),L.Bowa (86-76)
14,2002,Philadelphia Phillies,NL East,161,80,81,0,0.497,0.491,3rd of 5,21.5,,710,724,1618467,27.5,28.5,39,20,B.Abreu (5.8),L.Bowa (80-81)
15,2001,Philadelphia Phillies,NL East,162,86,76,0,0.531,0.517,2nd of 5,2,,746,719,1782054,26.9,28.9,46,22,S.Rolen (5.5),L.Bowa (86-76)
16,2000,Philadelphia Phillies,NL East,162,65,97,0,0.401,0.428,5th of 5,30,,708,830,1612769,28.5,28.7,51,27,B.Abreu (6.2),T.Francona (65-97)
17,1999,Philadelphia Phillies,NL East,162,77,85,0,0.475,0.497,3rd of 5,26,,841,846,1825337,28.2,28.3,41,22,B.Abreu (6.1),T.Francona (77-85)
18,1998,Philadelphia Phillies,NL East,162,75,87,0,0.463,0.443,3rd of 5,31,,713,808,1715722,27.1,29.3,40,21,S.Rolen (6.7),T.Francona (75-87)
19,1997,Philadelphia Phillies,NL East,162,68,94,0,0.42,0.397,5th of 5,33,,668,840,1490638,27.8,27.9,46,23,C.Schilling (6.3),T.Francona (68-94)
20,1996,Philadelphia Phillies,NL East,162,67,95,0,0.414,0.412,5th of 5,29,,650,790,1801677,28.4,27.7,54,25,C.Schilling (4.8),J.Fregosi (67-95)
21,1995,Philadelphia Phillies,NL East,144,69,75,0,0.479,0.469,2nd of 5,21,,615,658,2043598,29.7,27.1,50,26,R.Bottalico (2.9),J.Fregosi (69-75)
22,1994,Philadelphia Phillies,NL East,115,54,61,0,0.47,0.522,4th of 5,20.5,,521,497,2290971,29.8,29.3,40,20,D.Jackson (4.7),J.Fregosi (54-61)
23,1993,Philadelphia Phillies,NL East,162,97,65,0,0.599,0.577,1st of 7,--,Lost WS (4-2),877,740,3137674,29.3,28.8,40,20,L.Dykstra (6.5),J.Fregosi (97-65)
24,1992,Philadelphia Phillies,NL East,162,70,92,0,0.432,0.48,6th of 6,26,,686,717,1927448,27.7,26.8,48,24,D.Daulton (6.9),J.Fregosi (70-92)
25,1991,Philadelphia Phillies,NL East,162,78,84,0,0.481,0.464,3rd of 6,20,,629,680,2050012,29,26.7,43,19,J.Kruk (4.7),N.Leyva (4-9) and J.Fregosi (74-75)
26,1990,Philadelphia Phillies,NL East,162,77,85,0,0.475,0.445,4th of 6,18,,646,729,1992484,28.6,26.5,43,20,L.Dykstra (8.9),N.Leyva (77-85)
27,1989,Philadelphia Phillies,NL East,163,67,95,1,0.414,0.429,6th of 6,26,,629,735,1861985,29,27.8,48,22,V.Hayes (5.1),N.Leyva (67-95)
28,1988,Philadelphia Phillies,NL East,162,65,96,1,0.404,0.407,6th of 6,35.5,,597,734,1990041,29,29,43,21,K.Gross (3.6),L.Elia (60-92) and J.Vukovich (5-4)
29,1987,Philadelphia Phillies,NL East,162,80,82,0,0.494,0.47,4th of 6,15,,702,749,2100110,28.6,28.2,38,18,M.Schmidt (6.1),J.Felske (29-32) and L.Elia (51-50)
30,1986,Philadelphia Phillies,NL East,161,86,75,0,0.534,0.516,2nd of 6,21.5,,739,713,1933335,27.8,28.6,42,22,M.Schmidt (6.1),J.Felske (86-75)
31,1985,Philadelphia Phillies,NL East,162,75,87,0,0.463,0.496,5th of 6,26,,667,673,1830350,27.9,30.2,37,17,M.Schmidt (5.0),J.Felske (75-87)
32,1984,Philadelphia Phillies,NL East,162,81,81,0,0.5,0.519,4th of 6,15.5,,720,690,2062693,28.8,31.9,39,16,M.Schmidt (7.0),P.Owens (81-81)
33,1983,Philadelphia Phillies,NL East,163,90,72,1,0.556,0.542,1st of 6,--,Lost WS (4-1),696,635,2128339,31.9,30.3,44,18,J.Denny (7.6),P.Corrales (43-42) and P.Owens (47-30)
34,1982,Philadelphia Phillies,NL East,162,89,73,0,0.549,0.507,2nd of 6,3,,664,654,2376394,31,31.9,37,16,M.Schmidt (7.4),P.Corrales (89-73)
35,1981,Philadelphia Phillies,NL East,107,59,48,0,0.551,0.518,3rd of 6,2.5,Lost LDS (3-2),491,472,1638752,31.3,30.3,36,14,M.Schmidt (7.7),D.Green (59-48)
36,1980,Philadelphia Phillies,NL East,162,91,71,0,0.562,0.559,1st of 6,--,Won WS (4-2),728,639,2651650,30.6,28.6,39,17,S.Carlton (10.2),D.Green (91-71)
37,1979,Philadelphia Phillies,NL East,163,84,78,1,0.519,0.477,4th of 6,14,,683,718,2775011,30.7,28.3,38,17,M.Schmidt (7.9),D.Ozark (65-67) and D.Green (19-11)
